Topic,Count,Name,Representation,Representative_Docs
-1,2336,-1_will_it_we_for,"['will', 'it', 'we', 'for', 'not', 'be', 'their', 'in', 'from', 'have']","['And if We had decreed upon them, ""Kill yourselves"" or ""Leave your homes,"" they would not have done it, except for a few of them. But if they had done what they were instructed, it would have been better for them and a firmer position [for them in faith].', 'And if those who did wrong had all that is in the earth entirely and the like of it with it, they would [attempt to] ransom themselves thereby from the worst of the punishment on the Day of Resurrection. And there will appear to them from Allah that which they had not taken into account.', 'And, [O Muhammad], warn the people of a Day when the punishment will come to them and those who did wrong will say, ""Our Lord, delay us for a short term; we will answer Your call and follow the messengers."" [But it will be said], ""Had you not sworn, before, that for you there would be no cessation?']"
0,199,0_muhammad_allah_if_or,"['muhammad', 'allah', 'if', 'or', 'only', 'have considered', 'am', 'revealed', 'should', 'lord']","['Say, [O believers], ""We have believed in Allah and what has been revealed to us and what has been revealed to Abraham and Ishmael and Isaac and Jacob and the Descendants and what was given to Moses and Jesus and what was given to the prophets from their Lord. We make no distinction between any of them, and we are Muslims [in submission] to Him.""', 'Say, [O Muhammad], ""Have you considered that which you invoke besides Allah? Show me what they have created of the earth; or did they have partnership in [creation of] the heavens? Bring me a scripture [revealed] before this or a [remaining] trace of knowledge, if you should be truthful.""', 'So to that [religion of Allah] invite, [O Muhammad], and remain on a right course as you are commanded and do not follow their inclinations but say, ""I have believed in what Allah has revealed of the Qur\'an, and I have been commanded to do justice among you. Allah is our Lord and your Lord. For us are our deeds, and for you your deeds. There is no [need for] argument between us and you. Allah will bring us together, and to Him is the [final] destination.""']"
1,122,1_qur_qur an_an_book,"['qur', 'qur an', 'an', 'book', 'this qur', 'verses', 'we have', 'muhammad', 'down', 'sent']","[""Alif, Lam, Ra. These are the verses of the Book and a clear Qur'an."", ""Ta, Seen. These are the verses of the Qur'an and a clear Book"", ""By the wise Qur'an.""]"
2,96,2_my lord_my_me_lord,"['my lord', 'my', 'me', 'lord', 'turned', 'my people', 'people', 'do worship', 'turned away', 'father']","['And he turned away from them and said, ""O my people, I had certainly conveyed to you the message of my Lord and advised you, but you do not like advisors.""', 'He said, ""My Lord, support me against the corrupting people.""', 'And he raised his parents upon the throne, and they bowed to him in prostration. And he said, ""O my father, this is the explanation of my vision of before. My Lord has made it reality. And He was certainly good to me when He took me out of prison and brought you [here] from bedouin life after Satan had induced [estrangement] between me and my brothers. Indeed, my Lord is Subtle in what He wills. Indeed, it is He who is the Knowing, the Wise.']"
3,87,3_gardens_rivers_righteous_flow,"['gardens', 'rivers', 'righteous', 'flow', 'rivers flow', 'which rivers', 'paradise', 'beneath', 'beneath which', 'gardens beneath']","['Gardens of perpetual residence, which they will enter, beneath which rivers flow. They will have therein whatever they wish. Thus does Allah reward the righteous -', 'Indeed, those who have believed and done righteous deeds will have gardens beneath which rivers flow. That is the great attainment.', 'Indeed, Allah will admit those who believe and do righteous deeds to gardens beneath which rivers flow. They will be adorned therein with bracelets of gold and pearl, and their garments therein will be silk.']"
4,83,4_wealth_spend_their wealth_allah,"['wealth', 'spend', 'their wealth', 'allah', 'interest', 'let', 'write', 'reward', 'who', 'way allah']","['Those who spend their wealth in the way of Allah and then do not follow up what they have spent with reminders [of it] or [other] injury will have their reward with their Lord, and there will be no fear concerning them, nor will they grieve.', 'And collected [wealth] and hoarded.', 'Who collects wealth and [continuously] counts it.']"
5,80,5_because_that because_allah_their,"['because', 'that because', 'allah', 'their', 'disbelieved', 'allah has', 'hearts', 'that', 'believe', 'their hearts']","['That is because they opposed Allah and His Messenger. And whoever opposes Allah and His Messenger - indeed, Allah is severe in penalty.', 'They have been put under humiliation [by Allah] wherever they are overtaken, except for a covenant from Allah and a rope from the Muslims. And they have drawn upon themselves anger from Allah and have been put under destitution. That is because they disbelieved in the verses of Allah and killed the prophets without right. That is because they disobeyed and [habitually] transgressed.', 'And [We cursed them] for their breaking of the covenant and their disbelief in the signs of Allah and their killing of the prophets without right and their saying, ""Our hearts are wrapped"". Rather, Allah has sealed them because of their disbelief, so they believe not, except for a few.']"
6,80,6_saved_we saved_ship_drowned,"['saved', 'we saved', 'ship', 'drowned', 'so we', 'we drowned', 'sea', 'we', 'him family', 'then we']","['And they denied him, so We saved him and those with him in the ship and made them successors, and We drowned those who denied Our signs. Then see how was the end of those who were warned.', 'So We saved him and those with him in the laden ship.', 'But they denied him, so We saved him and those who were with him in the ship. And We drowned those who denied Our signs. Indeed, they were a blind people.']"
7,75,7_moses_aaron_children israel_israel,"['moses', 'aaron', 'children israel', 'israel', 'children', 'calf', 'my', 'me', 'moses aaron', 'took']","['And We certainly gave Moses the Scripture, so do not be in doubt over his meeting. And we made the Torah guidance for the Children of Israel.', 'The Lord of Moses and Aaron.""', 'The Lord of Moses and Aaron.""']"
8,71,8_day_that day_horn_blown,"['day', 'that day', 'horn', 'blown', 'will be', 'day when', 'will', 'day will', 'soul will', 'blast']","['And the Horn will be blown. That is the Day of [carrying out] the threat.', 'The Day the Horn will be blown. And We will gather the criminals, that Day, blue-eyed.', 'That Day will be a difficult day']"
