components,seed,bic,aic,verses,mean_normalized_entropy,mean_top1_probability,mean_top2_probability,mean_top1_top2_margin,smallest_component,largest_component
8,42,867682.2532498081,862244.6112060547,6236,0.1302298727933766,0.8904697,0.098005764,0.7924639,31,2640
8,43,875840.550491019,870402.9084472656,6236,0.08699581642728063,0.92642426,0.071254246,0.85516995,138,3387
8,44,867818.9892727573,862381.3472290039,6236,0.1504554713386416,0.873942,0.110472105,0.7634699,31,1905
12,42,864864.3521322764,856704.5200195312,6236,0.12140134808528118,0.8838766,0.09578763,0.788089,31,1583
12,43,864362.7964071787,856202.9642944336,6236,0.1103577552464769,0.89390135,0.08870991,0.80519146,31,1527
12,44,864956.9367880381,856797.104675293,6236,0.11198477860450819,0.8899685,0.09485294,0.7951156,31,1717
16,42,862516.1302139634,851634.1080322266,6236,0.09006672747914417,0.9002359,0.08901345,0.81122243,31,2700
16,43,862281.0051529283,851398.9829711914,6236,0.08239829108389864,0.91159606,0.077736236,0.83385986,31,2307
16,44,861859.8543960924,850977.8322143555,6236,0.09846402865101365,0.89454377,0.087038316,0.80750555,31,1338
20,42,861071.8694772912,847467.6572265625,6236,0.09111858056941705,0.8952951,0.08884516,0.80644995,31,1626
20,43,861068.0633249475,847463.8510742188,6236,0.09649811989015797,0.8901724,0.088999495,0.8011729,31,1192
20,44,861154.843598385,847550.6313476562,6236,0.09540192424355763,0.89225477,0.08666138,0.8055934,31,1116
