surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,component_probability_12,component_probability_13,component_probability_14,component_probability_15,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",0.007841062,8.170077e-09,3.036124e-05,0.00043024,1.7554721e-05,2.5480547e-06,8.419983e-07,3.9963863e-09,1.7414178e-06,8.89249e-08,0.991673,1.0535951e-07,0.0,9.456005e-09,3.948793e-06,4.109758e-08,10,0.05027267447216782
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",0.00028043496,3.9327645e-08,2.188097e-06,0.0006120498,0.00044525746,0.03939473,3.657235e-07,6.1426326e-09,4.284161e-09,2.7504328e-05,0.9591772,6.03101e-05,0.0,7.3808487e-10,8.9946735e-07,8.338848e-09,10,0.17856577034419863
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",0.85496694,1.8201478e-10,0.03075212,6.555845e-05,3.2187936e-07,7.4583906e-05,7.3125625e-07,1.2312541e-10,2.1395144e-06,2.1247401e-10,0.114134274,9.084162e-13,0.0,3.507448e-11,2.9354186e-09,1.6877153e-09,0,0.4901377090097788
1,4,1:4,Sovereign of the Day of Recompense.,3.1200743e-05,1.947853e-10,0.14014678,0.12005694,4.6245893e-07,0.00041999147,3.318053e-09,6.0926254e-08,1.9905424e-09,4.9872506e-06,0.7393423,8.607747e-18,0.0,2.2883553e-11,1.1313077e-09,2.9304354e-12,10,0.7568281239423009
1,5,1:5,It is You we worship and You we ask for help.,4.1462275e-08,1.1939241e-09,0.008121379,2.6576329e-08,7.33142e-06,0.000983883,2.2663311e-05,5.608166e-08,1.5073412e-07,1.2931588e-07,0.99086386,1.487465e-12,0.0,2.1527822e-09,3.566886e-10,1.6552886e-14,10,0.05533261683081806
1,6,1:6,Guide us to the straight path -,3.7739087e-12,2.1065557e-11,0.99487853,2.9152903e-07,7.231284e-07,1.4476255e-11,1.0985608e-09,9.972521e-11,1.761379e-08,5.4558257e-11,0.005117636,3.565797e-10,0.0,4.3276188e-11,4.601472e-12,5.6373444e-13,2,0.03211914611618125
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",0.00011565273,3.8012614e-11,0.09103258,1.2061897e-06,0.004745768,4.9888815e-08,5.756599e-08,9.336441e-07,0.00011321956,1.8579756e-08,0.90394866,3.0948664e-09,0.0,3.9045026e-05,2.5819827e-10,2.0506423e-11,10,0.33734349571972083
2,1,2:1,"Alif, Lam, Meem.",1.8817422e-08,2.0403425e-11,0.5057942,2.084452e-05,1.4652912e-06,1.2492525e-08,3.5150668e-05,1.780959e-08,3.2411833e-06,5.8988256e-08,0.48799735,0.0061511872,0.0,1.9877349e-09,2.3043805e-08,7.0374e-11,2,0.7268380807676057
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",8.2227763e-13,9.161991e-18,4.2505672e-14,1.9285327e-11,1.4723385e-08,1.919256e-11,3.8898285e-13,1.212505e-14,1.0503504e-11,1.9402062e-11,4.5866057e-07,1.0,0.0,1.2425012e-12,2.5429893e-11,1.1299451e-16,11,6.96219084494721e-06
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",1.9410457e-08,7.839279e-15,0.15377322,1.4266196e-09,0.0152205005,7.012706e-07,8.3274773e-07,1.0828327e-11,8.4491084e-13,0.19919634,0.6318095,5.176266e-17,0.0,4.7032156e-11,7.909835e-09,4.517392e-07,10,0.9631366755060485
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",1.6988342e-06,2.2097051e-13,2.1616788e-08,2.2955367e-08,0.9929222,1.3171114e-06,2.7415885e-07,2.0835482e-10,1.3809816e-10,2.9850236e-10,0.0055984124,0.0014764087,0.0,2.918578e-11,2.449204e-08,5.2266054e-09,4,0.04575131620598642
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",6.200297e-06,1.8118406e-11,0.0057325307,4.610704e-09,7.8721634e-05,1.444782e-07,2.3072404e-07,4.137786e-10,2.8158231e-09,8.473249e-06,0.9941653,5.90703e-13,0.0,1.0782548e-08,8.8175e-08,8.533649e-06,10,0.036431039471189815
