surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,component_probability_12,component_probability_13,component_probability_14,component_probability_15,component_probability_16,component_probability_17,component_probability_18,component_probability_19,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",5.0193917e-06,0.0008097771,0.03322384,0.9571961,1.6324003e-07,2.594386e-08,7.3383752e-09,9.2703285e-06,5.0883875e-07,2.5667075e-06,1.17521786e-07,0.00031065725,5.4997127e-09,3.8865775e-07,7.376606e-23,9.696149e-07,5.6110094e-09,0.0,2.7396831e-09,0.008439294,3,0.20378827557931395
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",1.2434195e-07,0.00018055477,0.0010183416,0.99842954,9.222641e-06,1.3522649e-07,9.622362e-11,4.729333e-06,1.9864046e-05,0.00023749236,8.293121e-05,4.4972257e-06,2.3425326e-11,6.034528e-06,1.1521978e-28,3.7282666e-10,2.7981981e-09,0.0,6.677408e-10,4.7413637e-06,3,0.013472961832837204
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",3.2797969e-09,9.322744e-06,0.94926906,2.2998066e-07,3.6749167e-12,4.0740037e-05,3.5428795e-12,1.8905571e-07,2.6248588e-07,1.354144e-07,1.1586043e-09,0.023153137,4.8502335e-12,7.505607e-10,1.4167507e-07,8.9040014e-07,1.2360166e-10,0.0,1.4501521e-10,0.027524622,2,0.2360419440169586
1,4,1:4,Sovereign of the Day of Recompense.,4.4507947e-10,0.83395827,0.06448483,1.2693418e-08,1.2378099e-17,5.1768897e-05,1.6707002e-11,2.1216156e-08,4.6938847e-08,2.92956e-07,2.2090282e-08,0.10150228,2.9905596e-12,4.207158e-06,2.2708189e-08,4.4598022e-10,4.9022262e-11,0.0,2.1097195e-08,2.1610288e-07,1,0.560974691298344
1,5,1:5,It is You we worship and You we ask for help.,8.6264156e-11,1.8870905e-08,0.9895569,0.0003228353,9.450288e-13,2.8933002e-06,4.2615841e-10,1.129675e-06,3.354133e-08,0.001879645,9.78585e-07,0.008232296,7.7998347e-10,1.2784832e-07,6.992429e-15,1.8943897e-08,2.979108e-10,0.0,2.2464532e-08,4.3686255e-09,2,0.06436353124211136
1,6,1:6,Guide us to the straight path -,1.7073863e-11,7.286412e-08,0.0049958457,2.5679276e-09,1.8244237e-09,4.8150326e-08,4.1566577e-11,3.7800834e-08,3.8388324e-09,3.300822e-08,1.0501958e-08,0.9949848,1.4999567e-10,2.7966066e-10,2.2303948e-05,1.3167482e-08,2.464411e-11,0.0,1.5550859e-10,1.2907598e-13,11,0.031719050243071034
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",1.9739284e-10,1.60708e-07,0.92805785,1.1845087e-05,4.816959e-09,1.8792416e-05,9.0300555e-06,0.00055531267,1.4335759e-08,1.04143155e-07,2.702257e-07,0.07131233,1.9461828e-09,2.120224e-08,4.5367138e-08,3.1269614e-05,1.0939346e-11,0.0,4.6445317e-07,1.8834104e-06,2,0.2625755275244177
2,1,2:1,"Alif, Lam, Meem.",4.0806075e-08,4.763772e-06,0.0009815588,0.0059988927,0.019241983,1.1202768e-06,5.126156e-10,2.9019631e-08,7.5945018e-06,4.5158757e-07,5.688149e-06,0.97375447,1.8619427e-07,2.6243583e-07,4.434052e-10,2.0111302e-06,1.9366717e-11,0.0,2.676087e-08,7.8252865e-10,11,0.13968016026943791
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",4.033492e-11,8.96523e-11,4.19596e-11,2.346832e-06,0.9999962,1.1152292e-12,4.214436e-13,9.882288e-09,5.710237e-14,1.094361e-10,1.9575655e-11,3.0777668e-12,1.3111239e-09,4.3998118e-11,7.1e-44,1.6013794e-11,6.4242457e-18,0.0,6.056177e-15,1.07820274e-13,4,3.4453126911578676e-05
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",2.2740512e-09,1.3667847e-09,0.81535465,1.899494e-05,2.9819641e-16,5.4986094e-06,1.11418375e-11,0.0002658855,4.4003807e-12,1.5866508e-05,0.00048321913,0.10243896,3.900076e-08,0.0814195,3.9334855e-15,8.496454e-14,8.95106e-16,0.0,2.6776949e-12,9.329372e-11,2,0.6103850267913861
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",3.609307e-08,2.5026426e-07,1.583102e-05,0.009470942,0.004036987,2.8712893e-05,2.152443e-11,0.98551846,1.08465334e-08,2.0276693e-06,0.00016214055,8.579144e-07,0.0007637305,7.7833395e-10,2.622382e-33,1.2407549e-10,1.9068551e-13,0.0,1.3451731e-10,1.078869e-06,7,0.08818902942570193
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",5.1220567e-08,5.13117e-08,0.9931041,3.9199942e-05,1.298103e-12,2.1147429e-05,1.0418165e-08,1.4182554e-05,5.2234617e-07,6.6868756e-07,1.199692e-06,0.00680516,2.4270765e-09,1.1416627e-05,1.9916254e-12,6.8589007e-10,5.033988e-12,0.0,2.0268377e-10,7.334322e-08,2,0.041780564576295455
2,6,2:6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",1.9038978e-12,2.0995362e-11,7.7751895e-07,4.527756e-09,7.4397245e-19,1.3070732e-10,3.3106107e-14,0.99997336,6.387701e-14,7.788499e-12,2.5365347e-05,2.7717252e-08,6.1079547e-10,6.307862e-15,7.8801107e-31,3.8854963e-14,2.720715e-11,0.0,1.7063567e-12,8.211335e-13,7,0.00030658665180853306
2,7,2:7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",6.407792e-05,2.5629504e-06,0.0001554462,0.73180544,5.529187e-08,1.5801033e-05,1.06462e-08,1.910088e-05,1.3643704e-05,3.1577545e-06,0.26736987,1.6214666e-05,0.00053075695,4.2171024e-07,8.463732e-33,6.760929e-06,3.0009589e-12,0.0,3.248207e-10,5.143909e-08,3,0.5880528751890423
2,8,2:8,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",2.3179732e-10,0.0007853839,6.1736746e-06,0.0035419636,1.9232725e-11,5.61624e-07,3.9876843e-12,0.0075051477,5.940978e-11,1.4310203e-06,0.98815733,9.830824e-07,6.489844e-09,1.3956057e-07,5.101242e-34,1.7715523e-10,7.189502e-15,0.0,2.5955089e-12,1.3114104e-07,10,0.07421064103092716
2,9,2:9,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.",9.4585397e-07,2.1415445e-09,2.7406386e-06,0.0009265389,2.3405296e-13,1.4179619e-07,7.9757576e-11,6.5303866e-05,7.6407734e-11,2.478342e-06,0.9987115,6.908522e-05,0.00021805169,3.1673162e-09,1.9488459e-28,4.3754817e-08,1.3805378e-12,0.0,9.269461e-10,1.09086145e-07,10,0.010973197475457509
