components,bic,aic
5,879710.1825974783,876314.1831054688
6,879445.6509521286,875369.1039428711
7,877261.866987443,872504.7724609375
8,876531.3671414097,871093.7250976562
9,876271.6883402982,870153.4987792969
10,875021.1729303,868222.4358520508
11,872928.9269294816,865449.6423339844
12,874059.5404257334,865899.7083129883
13,865108.1321324345,856267.7525024414
14,871940.8376086669,862419.9104614258
15,871633.010980407,861431.536315918
16,870982.4403335924,860100.4181518555
17,861849.2882658794,850286.7185668945
18,861129.3504926,848886.2332763672
19,861170.9286494964,848247.2639160156
20,861071.8694772912,847467.6572265625
21,860708.853640047,846424.0938720703
22,860280.9429053417,845315.6356201172
23,860748.144048078,845102.2892456055
24,860039.2441165955,843712.841796875
25,860659.5477373591,843652.5979003906
